# BPC league hero stats — league 19721
heroId,heroName,picks,bans,wins,losses,games,pickRate,banRate,winRate,contestRate
87,Disruptor,11,9,5,6,11,0.3142857142857143,0.2571428571428571,0.45454545454545453,0.5714285714285714
88,Nyx Assassin,2,1,1,1,2,0.05714285714285714,0.02857142857142857,0.5,0.08571428571428572
90,Keeper of the Light,1,1,1,0,1,0.02857142857142857,0.02857142857142857,1,0.05714285714285714
93,Slark,3,14,0,3,3,0.08571428571428572,0.4,0,0.48571428571428577
94,Medusa,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
95,Troll Warlord,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
96,Centaur Warrunner,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
97,Magnus,2,5,0,2,2,0.05714285714285714,0.14285714285714285,0,0.19999999999999998
98,Timbersaw,2,2,0,2,2,0.05714285714285714,0.05714285714285714,0,0.11428571428571428
99,Bristleback,3,4,2,1,3,0.08571428571428572,0.11428571428571428,0.6666666666666666,0.2
100,Tusk,7,7,4,3,7,0.2,0.2,0.5714285714285714,0.4
101,Skywrath Mage,1,2,0,1,1,0.02857142857142857,0.05714285714285714,0,0.08571428571428572
104,Legion Commander,1,1,1,0,1,0.02857142857142857,0.02857142857142857,1,0.05714285714285714
105,Techies,1,2,0,1,1,0.02857142857142857,0.05714285714285714,0,0.08571428571428572
106,Ember Spirit,4,8,3,1,4,0.11428571428571428,0.22857142857142856,0.75,0.34285714285714286
107,Earth Spirit,2,1,0,2,2,0.05714285714285714,0.02857142857142857,0,0.08571428571428572
108,Underlord,7,20,2,5,7,0.2,0.5714285714285714,0.2857142857142857,0.7714285714285714
109,Terrorblade,1,1,0,1,1,0.02857142857142857,0.02857142857142857,0,0.05714285714285714
110,Phoenix,8,6,6,2,8,0.22857142857142856,0.17142857142857143,0.75,0.4
111,Oracle,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
114,Monkey King,1,1,1,0,1,0.02857142857142857,0.02857142857142857,1,0.05714285714285714
119,Dark Willow,3,0,1,2,3,0.08571428571428572,0,0.3333333333333333,0.08571428571428572
120,Pangolier,3,7,2,1,3,0.08571428571428572,0.2,0.6666666666666666,0.2857142857142857
121,Grimstroke,12,7,4,8,12,0.34285714285714286,0.2,0.3333333333333333,0.5428571428571429
123,Hoodwink,6,2,3,3,6,0.17142857142857143,0.05714285714285714,0.5,0.22857142857142856
126,Void Spirit,7,9,2,5,7,0.2,0.2571428571428571,0.2857142857142857,0.45714285714285713
128,Snapfire,10,3,5,5,10,0.2857142857142857,0.08571428571428572,0.5,0.37142857142857144
129,Mars,4,4,1,3,4,0.11428571428571428,0.11428571428571428,0.25,0.22857142857142856
131,Ringmaster,0,1,0,0,0,0,0.02857142857142857,,0.02857142857142857
135,Dawnbreaker,7,15,2,5,7,0.2,0.42857142857142855,0.2857142857142857,0.6285714285714286
137,Primal Beast,1,2,0,1,1,0.02857142857142857,0.05714285714285714,0,0.08571428571428572
138,Muerta,0,1,0,0,0,0,0.02857142857142857,,0.02857142857142857
145,Kez,2,6,2,0,2,0.05714285714285714,0.17142857142857143,1,0.22857142857142856
